OrderID,CustomerName,Item,Quantity,Price,OrderDate
9,Jane Smith,Fries,3.0,4.5,2023-09-01
10,John Doe,Burger,2.0,8.5,2023-09-02
11,Emily Davis,Pasta,1.0,15.0,2023-09-03
12,Michael Johnson,Soda,2.0,3.0,2023-09-04
13,Alice Brown,Salad,1.0,7.0,2023-09-05
14,John Doe,Pizza,1.0,12.0,2023-09-06
15,Jane Smith,,1.0,,2023-09-07
16,,Pasta,,15.0,2023-09-08
17,Emily Davis,Burger,1.0,8.5,2023-09-09
18,Michael Johnson,Burger,2.0,8.5,2023-09-10
19,John Doe,Pizza,1.0,12.0,2023-09-11
20,Alice Brown,,2.0,8.5,2023-09-12
